name,frequency,rate
ptsize=3d,1,0.05
postfix,20,1.0
136b943c32,1,0.05
5.00.2314.1000,1,0.05
buying,1,0.05
prohibits,1,0.05
r-smtp.korea.com,1,0.05
face=3dverdana,1,0.05
000000,3,0.15
life,6,0.3
copperplate,1,0.05
coverage,3,0.15
dollars,3,0.15
helvetica,2,0.1
align=3dcenter,1,0.05
localhost.spamassassin.taint.org,20,1.0
09:42:10,1,0.05
tbody,4,0.2
please,12,0.6
193.120.211.219,17,0.85
/strong,2,0.1
web.de,1,0.05
/table,6,0.3
br=,1,0.05
name=3dgenerator,2,0.1
bordercolor=3d,1,0.05
remove,7,0.35
size=3d4,2,0.1
insurance,3,0.15
/tr,6,0.3
usands,1,0.05
compare,2,0.1
'll,2,0.1
disregard,1,0.05
thu,17,0.85
display,1,0.05
/body,4,0.2
zzzz,20,1.0
ues,1,0.05
affordable,2,0.1
100,3,0.15
netsgo.com,1,0.05
12a1mailbot1,1,0.05
cellpadding=3d5,1,0.05
security,2,0.1
text/html,6,0.3
203.122.2.197,1,0.05
gothic,1,0.05
align=3dmiddle,2,0.1
5px,1,0.05
help,7,0.35
face=3d,2,0.1
investment,2,0.1
href=3d,2,0.1
sans-serif,2,0.1
coins,1,0.05
padding-left,1,0.05
let,1,0.05
meta,3,0.15
5.5.1775.675.6,1,0.05
colspan=3d3,1,0.05
0000,1,0.05
4.0,1,0.05
font,6,0.3
simple,4,0.2
body,5,0.25
save,3,0.15
family,4,0.2
/html,5,0.25
210.97.77.167,1,0.05
quote,2,0.1
ensurin=,1,0.05
take,2,0.1
end,1,0.05
eve=,1,0.05
wed,1,0.05
spend,1,0.05
ff=,1,0.05
127.0.0.1,20,1.0
08:17:21,1,0.05
date,20,1.0
webnote.net,17,0.85
size=3d,1,0.05
spamassassin.taint.org,12,0.6
/center,3,0.15
reside,1,0.05
size=3d-2,1,0.05
calypso=,1,0.05
ype,1,0.05
cellpadding=3d0,1,0.05
single-drop,20,1.0
transitional//en,1,0.05
wi=,1,0.05
tho=,1,0.05
ist,20,1.0
color=3d,2,0.1
mail.webnote.net,17,0.85
received,20,1.0
